puzzle,category,date
VICKI LAWRENCE,Person,3/16/84*
DAYS OF WINE AND ROSES,Title,3/16/84*
DON'T LOOK A GIFT HORSE IN THE MOUTH,Phrase,3/21/84*
BOLT OF LIGHTNING,Thing,3/21/84*
BREAKFAST LUNCH AND DINNER,Things,3/21/84*
MASON-DIXON LINE,Thing,4/2/84
BACHELOR'S BUTTON,Thing,4/2/84
KNIGHTS OF COLUMBUS,People,4/2/84
SUDDEN DEATH OVERTIME,Phrase,4/3/84*
THE ADVENTURES OF HUCKLEBERRY FINN,Title,4/3/84*
RICHARD PRYOR,Person,4/3/84*
ONE HAND WASHES THE OTHER,Phrase,4/6/84
RUB-A-DUB-DUB THREE MEN IN A TUB,Quotation,4/6/84
SINGIN' IN THE RAIN,Title,4/6/84
ALL'S WELL THAT ENDS WELL,Title,4/18/84
PAR FOR THE COURSE,Phrase,4/18/84
LITTLE WHITE LIE,Thing,4/18/84
GOLDIE HAWN,Person,4/18/84
WOLF WHISTLE,Thing,5/1/84*
ANTS IN YOUR PANTS,Phrase,5/1/84*
COME HELL OR HIGH WATER,Phrase,5/1/84*
PETER PETER PUMPKIN EATER,Quotation,5/2/84*
KEEP OUT OF REACH OF CHILDREN,Phrase,5/2/84*
DUBLIN IRELAND,Place,5/2/84*
FAIR AND SQUARE,Phrase,5/2/84*
ASTROLOGICAL FORECAST,Thing,5/3/84*
SLEEPWALKING,Thing,5/3/84*
RICK SPRINGFIELD,Person,5/3/84*
PEOPLE MAGAZINE,Thing,5/16/84
ALIMONY PAYMENTS,Things,5/16/84
NO STRINGS ATTACHED,Phrase,5/16/84
RING-AROUND-THE-ROSY,Quotation,6/4/84
PORTRAIT PAINTER,Occupation,6/4/84
ALL MEN ARE CREATED EQUAL,Quotation,6/4/84
MARCH OF DIMES,Thing,6/4/84
THREE-MILE LIMIT,Phrase,6/18/84*
OH GIVE ME A HOME WHERE THE BUFFALO ROAM,Quotation,6/18/84*
CUCKOO CLOCK,Thing,6/18/84*
THE JEFFERSONS,Title,6/18/84*
YOU ONLY LIVE ONCE,Phrase,9/26/84
GEORGE C SCOTT,Person,9/26/84
THE PAINTED DESERT,Place,9/26/84
SO LONG UNTIL TOMORROW,Quotation,9/26/84
JERRY LEWIS,Person,10/1/84*
A STEP IN THE RIGHT DIRECTION,Phrase,10/1/84*
MATTER-OF-FACT,Phrase,10/1/84*
ALI BABA AND THE FORTY THIEVES,Title,9/13/84*
WRIT OF HABEAS CORPUS,Thing,9/13/84*
GEORGE PEPPARD,Person,9/13/84*
ALL SYSTEMS GO,Phrase,9/12/84
PUT YOUR BEST FOOT FORWARD,Phrase,9/12/84
NEW ENGLAND STATES,Place,9/12/84
ROTARY CLUB,Thing,9/12/84
SCHOOL OF FISH,Thing,9/12/84
REACH OUT AND TOUCH SOMEONE,Quotation,9/10/84
THREE BLIND MICE,Fictional Characters,9/10/84
A MARRIAGE MADE IN HEAVEN,Phrase,9/10/84
AFTER ALL IS SAID AND DONE,Quotation,9/19/84
CENTER FIELDER,Person,9/19/84
GOING BY THE BOOK,Phrase,9/19/84
MEXICAN JUMPING BEANS,Things,10/24/84*
DRIVE A HARD BARGAIN,Phrase,10/24/84*
ACCORDING TO HOYLE,Phrase,10/24/84*
LEMON CHIFFON PIE,Thing,10/8/84*
HUSBAND AND WIFE,People,10/8/84*
SINGING A DIFFERENT TUNE,Phrase,10/8/84*
ESCAPE HATCH,Thing,10/8/84*
COME AND GET IT,Phrase,10/8/84*
CHOCOLATE CHIP COOKIES,Things,9/17/84
INDIAN RESERVATION,Place,9/17/84
GOING IN THE OPPOSITE DIRECTION,Phrase,9/17/84
FALSE TEETH,Things,9/17/84
DOUBLE EXPOSURE,Phrase,9/21/84*
VOCAL CORDS,Things,9/21/84*
WESTERN HEMISPHERE,Place,9/21/84*
KNOCK KNOCK WHO'S THERE,Phrase,9/11/84
THE BEST OF BOTH WORLDS,Phrase,9/11/84
SLEDGE HAMMER,Thing,9/11/84
STEVIE WONDER,Person,9/28/84
RULES AND REGULATIONS,Things,9/28/84
CONTINENTAL BREAKFAST,Thing,9/28/84
THE NEW YORK TIMES,Title,10/29/84*
LOCK STOCK AND BARREL,Phrase,10/29/84*
VISITING HOURS,Things,10/29/84*
SHORTSTOP,Person,10/29/84*
HOLY ROMAN EMPIRE,Place,9/25/84*
GRIZZLY BEAR,Thing,9/25/84*
SO CLEAN YOU COULD EAT OFF THE FLOOR,Phrase,9/25/84*
ROSES ARE RED VIOLETS ARE BLUE,Quotation,9/27/84
ARNOLD PALMER,Person,9/27/84
COUNTRY-AND-WESTERN MUSIC,Thing,9/27/84
PHONOGRAPH RECORD,Thing,10/2/84
BOYS AND GIRLS,People,10/2/84
INTO EACH LIFE SOME RAIN MUST FALL,Quotation,10/2/84
HOME-COOKED MEAL,Thing,10/2/84
REAL-ESTATE BROKER,Occupation,10/11/84
DOING WHAT WE DO BEST,Quotation,10/11/84
STEVEN SPIELBERG,Person,10/11/84
COAST TO COAST,Phrase,10/11/84
SPLIT PERSONALITY,Phrase,11/1/84
GEORGE BERNARD SHAW,Person,11/1/84
THE LEANING TOWER OF PISA,Landmark,11/1/84
WALDORF SALAD,Thing,11/1/84
FROM SOUP TO NUTS,Phrase,10/3/84
QUICK RECOVERY,Phrase,10/3/84
GRAPEFRUIT SECTIONS,Things,10/3/84
FOR HE'S A JOLLY GOOD FELLOW,Title,10/5/84*
AT THE STROKE OF MIDNIGHT,Phrase,10/5/84*
MARY MARY QUITE CONTRARY,Quotation,10/5/84*
ROME WASN'T BUILT IN A DAY,Phrase,9/24/84*
RIPLEY'S BELIEVE IT OR NOT,Title,9/24/84*
MARRIAGE LICENSE,Thing,9/24/84*
CHAPERON,Person,9/24/84*
SOUNDS FISHY TO ME,Phrase,10/9/84*
DOCTORS AND NURSES,People,10/9/84*
MOVING RIGHT ALONG,Phrase,10/9/84*
WIPE THAT SMILE OFF YOUR FACE,Phrase,10/10/84*
ANN-MARGRET,Person,10/10/84*
BAA BAA BLACK SHEEP HAVE YOU ANY WOOL,Quotation,10/10/84*
SAVED BY THE BELL,Phrase,10/4/84*
ROCK OF GIBRALTAR,Landmark,10/4/84*
GRANDMA MOSES,Person,10/4/84*
BEYOND COMPREHENSION,Phrase,10/12/84*
ZEBRA STRIPES,Things,10/12/84*
GETTING THERE IS HALF THE FUN,Phrase,10/12/84*
BOTTLENECK,Thing,10/12/84*
STANDARD OF LIVING,Phrase,10/15/84
MATCHMAKER MATCHMAKER MAKE ME A MATCH,Quotation,10/15/84
MONEY IN THE BANK,Phrase,10/15/84
GEORGE BENSON,Person,10/15/84
WEDDING INVITATION,Thing,12/11/84*
JACK AND JILL WENT UP THE HILL,Quotation,12/11/84*
STAR OF DAVID,Thing,12/11/84*
BRIGADIER GENERAL,Person,12/11/84*
SWEET-AND-SOUR PORK,Thing,12/11/84*
JUGGLING ACT,Thing,10/17/84
DENNIS THE MENACE,Fictional Character,10/17/84
FOR AMBER WAVES OF GRAIN,Quotation,10/17/84
NAVY-BEAN SOUP,Thing,10/18/84*
TAKEN TO THE CLEANERS,Phrase,10/18/84*
ROCK-AND-ROLL STAR,Person,10/18/84*
SOUTH PACIFIC,Title,10/18/84*
FRUIT COCKTAIL,Thing,10/19/84*
THE GREATEST STORY EVER TOLD,Title,10/19/84*
SAMMY DAVIS JR,Person,10/19/84*
NORTH AMERICA,Place,10/19/84*
BEFORE AND AFTER,Phrase,10/22/84*
PUSSYFOOTING AROUND,Phrase,10/22/84*
LARRY HAGMAN,Person,10/22/84*
GETTING AWAY WITH MURDER,Phrase,10/16/84
WOODROW WILSON,Person,10/16/84
CORNED BEEF AND CABBAGE,Things,10/16/84
JUMP FOR JOY,Phrase,10/16/84
EMPIRE STATE BUILDING,Landmark,10/25/84*
UP THE CREEK WITHOUT A PADDLE,Phrase,10/25/84*
MOTHERS AGAINST DRUNK DRIVERS,People,10/25/84*
DON'T FLATTER YOURSELF,Phrase,10/26/84
WHAT YOU SEE IS WHAT YOU GET,Phrase,10/26/84
NASHVILLE TENNESSEE,Place,10/26/84
THE REAL MC COY,Phrase,10/23/84
DETROIT TIGERS,People,10/23/84
BEATING YOUR HEAD AGAINST A WALL,Phrase,10/23/84
WILL WONDERS NEVER CEASE,Phrase,11/6/84
PERISH THE THOUGHT,Phrase,11/6/84
BABY FAT,Thing,11/6/84
RELATIVE HUMIDITY,Phrase,11/6/84
THE NEW TESTAMENT,Title,10/30/84
ALEXANDER GRAHAM BELL,Person,10/30/84
LET BYGONES BE BYGONES,Phrase,10/30/84
FLEA MARKET,Place,10/30/84
HIGH-SCHOOL SWEETHEART,Person,10/31/84*
SUNDAY NEWSPAPER,Thing,10/31/84*
LAST BUT NOT LEAST,Phrase,10/31/84*
FIRST THINGS FIRST,Phrase,11/8/84
FOREIGN CORRESPONDENT,Occupation,11/8/84
CHAMPAGNE PUNCH,Thing,11/8/84
OLD GLORY,Nickname,11/8/84
JOHN FORSYTHE,Person,11/2/84
THE MORNING AFTER,Phrase,11/2/84
PHILADELPHIA PHILLIES,People,11/2/84
PORKY PIG,Fictional Character,11/5/84
ALL DECKED OUT IN YOUR SUNDAY BEST,Phrase,11/5/84
MADISON SQUARE GARDEN,Place,11/5/84
PROFESSOR HENRY HIGGINS,Fictional Character,11/9/84
DOWN THE BACKSTRETCH,Phrase,11/9/84
FANCY MEETING YOU HERE,Phrase,11/9/84
SAN JUAN PUERTO RICO,Place,11/13/84
EVERY SECOND COUNTS,Phrase,11/13/84
FRANKFURTERS AND SAUERKRAUT,Things,11/13/84
FAMILY PORTRAIT,Thing,11/7/84*
ACCORDING TO MY CALCULATIONS,Phrase,11/7/84*
GENERAL DOUGLAS MAC ARTHUR,Person,11/7/84*
WOODY WOODPECKER,Fictional Character,11/14/84*
RIGHT IN YOUR OWN BACKYARD,Phrase,11/14/84*
NEW YORK METS,People,11/14/84*
CATHOLIC PRIEST,Person,11/12/84*
WHY DON'T YOU PICK ON SOMEONE YOUR OWN SIZE,Phrase,11/12/84*
SHOW OF HANDS,Phrase,11/12/84*
BILLY JOEL,Person,11/30/84
LASSIE COME HOME,Title,11/30/84
IT RUNS IN THE FAMILY,Phrase,11/30/84
CORNED-BEEF HASH,Thing,12/10/84*
DON'T LEAVE HOME WITHOUT IT,Quotation,12/10/84*
WEIGHT LIFTING,Thing,12/10/84*
HUMAN RIGHTS,Things,11/16/84
SITTING ON TOP OF A GOLD MINE,Phrase,11/16/84
LUCK OF THE DRAW,Phrase,11/16/84
RED-LETTER DAY,Phrase,11/15/84*
SPENDING MONEY LIKE WATER,Phrase,11/15/84*
SMATTERING OF APPLAUSE,Phrase,11/15/84*
COMMAND PERFORMANCE,Event,11/20/84*
THERE'S MORE WHERE THAT CAME FROM,Phrase,11/20/84*
FEDERAL RESERVE SYSTEM,Thing,11/20/84*
BUTTERMILK BISCUITS,Things,11/21/84*
DON'T MAKE A MOUNTAIN OUT OF A MOLEHILL,Phrase,11/21/84*
ELECTRIC SHOCK,Thing,11/21/84*
CLEVELAND OHIO,Place,11/21/84*
BILL COSBY,Person,11/22/84
PHYSICAL EXAMINATION,Thing,11/22/84
YOUR GOOSE IS COOKED,Phrase,11/22/84
YOU TOOK THE WORDS RIGHT OUT OF MY MOUTH,Phrase,11/23/84
TONGUE TWISTER,Thing,11/23/84
ANIMAL VEGETABLE OR MINERAL,Phrase,11/23/84
SCUTTLEBUTT,Phrase,11/26/84*
YOU HAVE THE RIGHT TO REMAIN SILENT,Phrase,11/26/84*
LEONARD NIMOY,Person,11/26/84*
PUTTING TWO AND TWO TOGETHER,Phrase,11/27/84*
RUSH-HOUR TRAFFIC,Thing,11/27/84*
STEPHANIE POWERS,Person,11/27/84*
MEMPHIS TENNESSEE,Place,11/27/84*
EGGS SUNNY-SIDE UP,Things,11/28/84
BURNING THE MIDNIGHT OIL,Phrase,11/28/84
CHECK YOUR LOCAL LISTINGS,Phrase,11/28/84
WARNING SIGNAL,Thing,11/29/84
APPLES AND ORANGES,Things,11/29/84
HUGH HEFNER,Person,11/29/84
I PLEDGE ALLEGIANCE TO THE FLAG,Quotation,11/19/84*
WARREN BEATTY,Person,11/19/84*
DON'T LET THE BEDBUGS BITE,Phrase,11/19/84*
BACKWARD GLANCE,Thing,12/21/84
CATCH-AS-CATCH-CAN,Phrase,12/21/84
ALCOHOLICS ANONYMOUS,People,12/21/84
GENERATION GAP,Phrase,12/21/84
GOODY GOODY GUMDROPS,Phrase,12/4/84*
SELF-ADDRESSED-STAMPED ENVELOPE,Thing,12/4/84*
YOU MUST BE READING MY MIND,Phrase,12/4/84*
MARTIN LUTHER KING,Person,12/5/84
FIGMENT OF YOUR IMAGINATION,Phrase,12/5/84
BOUNCING BABY BOY,Person,12/5/84
NO PARKING,Phrase,12/5/84
TWO HEADS ARE BETTER THAN ONE,Quotation,12/6/84
BICARBONATE OF SODA,Thing,12/6/84
MASCULINE AND FEMININE,Phrase,12/6/84
DALLAS TEXAS,Place,12/12/84
WITH LIBERTY AND JUSTICE FOR ALL,Quotation,12/12/84
PASSIONATE KISS,Thing,12/12/84
RIP TORN,Person,12/12/84
CHEESE AND CRACKERS,Things,12/14/84
BRIDE OF FRANKENSTEIN,Title,12/14/84
VANISHED INTO THIN AIR,Phrase,12/14/84
SWORN TO SECRECY,Phrase,12/7/84*
BUCKING BRONCO,Thing,12/7/84*
FIVE SIX PICK UP STICKS,Quotation,12/7/84*
PREPARE FOR DEPARTURE,Phrase,12/3/84
FRIEND OF A FRIEND,Person,12/3/84
YOUR CHECK IS IN THE MAIL,Phrase,12/3/84
POLITICIANS,People,12/3/84
GENTLEMAN'S AGREEMENT,Phrase,12/17/84*
I ONLY HAVE EYES FOR YOU,Quotation,12/17/84*
SPEED CHECKED BY RADAR,Phrase,12/17/84*
READY OR NOT HERE I COME,Phrase,12/27/84
HAIR-RAISING EXPERIENCE,Phrase,12/27/84
THE FACTS OF LIFE,Title,12/27/84
THE AGONY AND THE ECSTASY,Title,12/19/84*
IN MORE WAYS THAN ONE,Phrase,12/19/84*
HOPE SPRINGS ETERNAL,Quotation,12/19/84*
CREAM OF MUSHROOM SOUP,Thing,12/20/84*
PRESIDENTIAL INAUGURATION,Event,12/20/84*
KEEP UP THE GOOD WORK,Phrase,12/20/84*
AND THE PURSUIT OF HAPPINESS,Quotation,1/21/85
PLEASE PRINT CLEARLY,Phrase,1/21/85
ARTIFICIAL TURF,Thing,1/21/85
ONE FOR THE MONEY TWO FOR THE SHOW,Quotation,12/18/84*
DECORATING THE CHRISTMAS TREE,Event,12/18/84*
ITALIAN OPERA SINGER,Person,12/18/84*
OATMEAL COOKIES,Things,12/18/84*
THE PATTER OF LITTLE FEET,Phrase,12/25/84
SOUTHERN HOSPITALITY,Phrase,12/25/84
NOTHING TO WRITE HOME ABOUT,Phrase,12/25/84
DINNER RESERVATIONS,Things,12/25/84
'TWAS THE NIGHT BEFORE CHRISTMAS,Quotation,12/26/84*
INDIANAPOLIS INDIANA,Place,12/26/84*
I'LL LET YOU IN ON A LITTLE SECRET,Phrase,12/26/84*
FRONT PAGE,Thing,12/26/84*
'TIS THE SEASON TO BE JOLLY,Quotation,12/24/84
CAN'T LIVE WITHOUT IT,Phrase,12/24/84
GUMBALL MACHINE,Thing,12/24/84
DIVINITY FUDGE,Thing,12/24/84
MAKING A FEDERAL CASE OUT OF IT,Phrase,12/28/84*
ZERO POPULATION GROWTH,Phrase,12/28/84*
ELLIOTT GOULD,Person,12/28/84*
UNDER CONSTRUCTION,Phrase,1/8/85
MAKING A SPECTACLE OF YOURSELF,Phrase,1/8/85
INDEX FINGER,Thing,1/8/85
WHAT YOU DON'T KNOW WON'T HURT YOU,Phrase,1/7/85
COMPUTER SOFTWARE,Things,1/7/85
SPLIT MY SIDES LAUGHING,Phrase,1/7/85
NOW YOU SEE IT NOW YOU DON'T,Phrase,1/9/85*
TELL ME EXACTLY WHAT HAPPENED,Phrase,1/9/85*
IDENTITY CRISIS,Phrase,1/9/85*
MOUNTAIN LION,Thing,1/9/85*
OVER THE RIVER AND THROUGH THE WOODS,Quotation,1/18/85
CABINET MEETING,Event,1/18/85
ANGEL FOOD CAKE,Thing,1/18/85
FAYE DUNAWAY,Person,1/18/85
NEW YEAR'S RESOLUTION,Thing,12/31/84
PUTTING WORDS IN MY MOUTH,Phrase,12/31/84
OVERNIGHT SUCCESS,Phrase,12/31/84
WORDS OF WISDOM,Phrase,1/14/85
CIRCUS CLOWN,Occupation,1/14/85
ASHES TO ASHES DUST TO DUST,Quotation,1/14/85
CHARLES BRONSON,Person,1/14/85
NOTHING TO SNEEZE AT,Phrase,1/10/85
LONG-STEMMED ROSES,Things,1/10/85
THE LIFE OF THE PARTY,Person,1/10/85
CREDIT CARDS,Things,1/10/85
THE HAPPIEST DAY OF MY LIFE,Phrase,1/11/85
ROOM TEMPERATURE,Phrase,1/11/85
EIGHTEEN-HOLE GOLF COURSE,Place,1/11/85
BEING IN THE RIGHT PLACE AT THE RIGHT TIME,Phrase,1/17/85
LEMON MERINGUE PIE,Thing,1/17/85
OFF THE TOP OF MY HEAD,Phrase,1/17/85
STANDING UP FOR YOUR RIGHTS,Phrase,4/29/85
COPS AND ROBBERS,People,4/29/85
THE INDIANAPOLIS FIVE HUNDRED,Event,4/29/85
A CHIP OFF THE OLD BLOCK,Phrase,1/22/85*
BRUCE SPRINGSTEEN,Person,1/22/85*
SMALL CRAFT WARNING,Thing,1/22/85*
RETURN ADDRESS,Thing,1/22/85*
LET THE CAT OUT OF THE BAG,Phrase,1/23/85
SENATOR BARRY GOLDWATER,Person,1/23/85
CASE DISMISSED,Phrase,1/23/85
WAS IT SOMETHING I SAID,Phrase,1/24/85
FASHION PLATE,Person,1/24/85
DUE TO CIRCUMSTANCES BEYOND MY CONTROL,Phrase,1/24/85
SURPRISE BIRTHDAY PARTY,Event,1/25/85*
YOU'RE MAKING ME NERVOUS,Phrase,1/25/85*
HAVING THE TIME OF MY LIFE,Phrase,1/25/85*
SALT LAKE CITY UTAH,Place,1/25/85*
SWEET LAND OF LIBERTY,Quotation,3/11/85*
WEDDING GOWN,Thing,3/11/85*
ACADEMY AWARD NOMINATION,Thing,3/11/85*
FIT TO BE TIED,Phrase,3/11/85*
TALK A BLUE STREAK,Phrase,2/19/85
THE WHOLE KIT AND CABOODLE,Phrase,2/19/85
REAR-VIEW MIRROR,Thing,2/19/85
WRESTLING MATCH,Event,2/19/85
TEAM OF HORSES,Things,2/4/85
PEANUT BUTTER AND JELLY SANDWICH,Thing,2/4/85
EXTENSION PHONE,Thing,2/4/85
JOHN WAYNE,Person,2/4/85
HEART-WARMING STORY,Thing,2/5/85
IT COULDN'T HAPPEN TO A NICER PERSON,Phrase,2/5/85
DELUSIONS OF GRANDEUR,Phrase,2/5/85
FOUR-POSTER BED,Thing,2/6/85*
TELL IT TO THE MARINES,Phrase,2/6/85*
WATCHING YOUR WAISTLINE,Phrase,2/6/85*
THE BIG BAD WOLF,Fictional Character,1/30/85
IT WAS FUN WHILE IT LASTED,Quotation,1/30/85
CONVENIENTLY LOCATED,Phrase,1/30/85
SENSE OF HUMOR,Phrase,2/1/85
GETTING OFF TO A GOOD START,Phrase,2/1/85
PRESIDENT RONALD REAGAN,Person,2/1/85
NEITHER HERE NOR THERE,Phrase,1/28/85
YO-HO-HO AND A BOTTLE OF RUM,Quotation,1/28/85
SAN FRANCISCO FORTY-NINERS,People,1/28/85
LIFETIME GUARANTEE,Thing,1/29/85
DON'T BE SILLY,Phrase,1/29/85
CALM COOL AND COLLECTED,Phrase,1/29/85
ARTE JOHNSON,Person,1/29/85
MICHELE LEE,Person,1/31/85
DEVIL'S FOOD CAKE,Thing,1/31/85
WILD-GOOSE CHASE,Phrase,1/31/85
DO YOU KNOW THE WAY TO SAN JOSE,Title,2/15/85
IT WAS FUN WHILE IT LASTED,Phrase,2/15/85
WORLD CHESS CHAMPION,Person,2/15/85
STRAIGHT FROM THE HORSE'S MOUTH,Phrase,2/12/85
HOT SPRINGS ARKANSAS,Place,2/12/85
MICHAEL LANDON,Person,2/12/85
SPEAK NOW OR FOREVER HOLD YOUR PEACE,Phrase,2/13/85
CHOCOLATE PUDDING,Thing,2/13/85
THE LUCK OF THE IRISH,Phrase,2/13/85
JUMP ON THE BANDWAGON,Phrase,2/8/85
ROOM AND BOARD,Phrase,2/8/85
ANGELA LANSBURY,Person,2/8/85
ALL DRESSED UP AND NO PLACE TO GO,Phrase,2/11/85
THE HOPE DIAMOND,Thing,2/11/85
CONFLICT OF INTEREST,Phrase,2/11/85
FOREIGN POLICY,Thing,3/15/85*
